67,-1,-1,66,67,67,-1,66,-1,67,66,67,67,66,-1,-1
-1,66,224,210,210,210,210,210,210,210,210,210,210,225,67,-1
66,224,211,200,201,201,201,201,201,201,201,201,202,209,225,66
224,211,200,205,-1,-1,-1,71,-1,-1,-1,-1,204,202,209,225
211,200,205,-1,71,-1,-1,-1,-1,-1,-1,-1,71,204,202,209
201,205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204,201
-1,-1,-1,-1,-1,-1,-1,-1,-1,71,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,71,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
233,189,-1,71,-1,-1,-1,-1,-1,71,-1,-1,-1,71,188,233
179,232,189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,188,234,177
240,179,232,189,-1,-1,71,-1,-1,-1,-1,-1,188,234,177,241
66,240,179,232,233,233,233,233,233,233,233,233,234,177,241,67
67,-1,240,178,178,178,178,178,178,178,178,178,178,241,66,67
-1,66,67,-1,-1,-1,66,67,67,66,-1,-1,-1,67,-1,-1
